Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.7538679,441.7978725,470.9667681,536.3661041,522.6565239,541.8536012,605.5380268,679.838134,817.9012925,1067.995449,1482.730765,1979.001704,2905.995732,3771.195266,2749.526679,2924.465669,3164.503513,3332.075254,3562.031034,3653.790372,3241.924007,3172.823146,3522.861657,3685.765957,4024.138558,
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2680.851329,2831.504529,3252.89277,3952.89697,5336.531985,5796.651066,6201.113215,6339.85968,6744.219108,7449.092078,8196.059095,9711.145123,10252.37433,9364.851608,10055.74119,9116.699158,9072.3934,9279.551599,11438.41297,14146.54648,14189.85738,14643.44627,14467.12964,13967.01804,14442.86219,16063.75036,17321.85371,18611.96641,16962.59859,16334.36491,17058.27974,15451.39914,15990.97604,18734.05992,24240.35872,26511.18834,27847.64937,31260.10413,37805.48079,33347.38232,40233.32563,48283.02595,53474.85056,53920.03703,48738.74797,44352.13785,39137.30036,42036.79642,44300.56228,42151.08638,
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1760.366407,2033.999931,2496.958371,3329.743066,3957.170975,4499.229091,4852.859767,5795.952731,6952.568883,8309.593475,9171.80851,7862.680234,7895.662742,8038.926526,7569.365238,7734.690792,10998.83569,13765.73746,14865.05765,14798.29206,18396.43586,18879.42802,20991.20817,20248.47263,21548.58457,25393.91007,25034.87389,22290.73138,22794.03771,22352.31535,20343.70515,20129.17442,21823.39402,26670.5081,30565.84667,31856.87716,33977.91088,39129.36688,43491.86991,39512.19336,39003.6633,42581.45348,39996.85954,41700.68221,42432.30127,35815.13636,37186.24832,38448.41835,41712.20127,41179.54893,
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.039055,406.4166403,361.482235,435.0783599,550.8689736,651.3600906,739.4642437,941.078515,1355.271776,2041.617423,3143.723554,3308.679865,3834.859776,4640.948685,5148.236905,5698.291736,5988.916331,4424.790963,2997.667453,3173.625336,3359.638152,3501.650356,
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,171.0618435,177.4992774,171.8076244,187.3139914,163.8727657,186.9067545,183.3067549,163.2556858,150.8937643,151.0439988,145.5607803,149.7978501,132.9854853,112.3609308,104.4642219,99.32660191,77.48487673,94.09614182,82.30507529,87.50386881,96.32508628,85.91152657,72.08680669,47.86167297,65.60182663,84.4518367,101.8361066,91.3097892,104.9829617,116.8258957,145.6307064,152.6653922,174.2761544,181.141883,194.1074501,220.4757686,199.6848701,207.3267811,203.6413233,199.8877276,
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2401.326939,2679.963818,3334.904643,4284.694878,4998.573003,5846.219948,6358.819281,7323.832216,8930.940752,10181.86762,10834.04718,8877.939433,7762.436265,7346.521503,7084.752179,7371.618905,10301.5932,12879.05053,14025.93371,14100.35005,17608.37038,18009.58596,19967.25592,19212.48887,21096.82102,24609.36438,23720.53057,21434.10146,21835.96899,21652.6988,19805.42732,19527.99792,21086.26791,25824.62997,29722.68002,30803.44789,32307.6661,36933.6045,40253.5847,36728.17874,36309.10588,38241.68157,36970.10815,38775.52457,39500.762,33795.26477,34512.83046,36348.29167,39098.08554,38208.4492,
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,106.4046015,127.917606,154.3890835,166.7243983,196.7646541,195.3755788,205.4866948,246.6101961,307.4116147,353.5185463,317.5647797,296.9178429,244.8564141,222.1688606,217.7652562,272.59033,306.1852176,309.840322,270.4026926,341.5698996,334.2075748,261.0599459,342.9198522,219.9536459,287.5835768,298.7697061,282.0342323,298.9449377,446.8303142,418.5107667,426.388242,473.6923304,586.9966401,666.2122994,693.1042007,719.8259224,811.138848,942.8110954,902.7453338,860.4628794,948.051914,967.1574311,1076.575143,1115.485829,930.8888584,938.7206171,974.0879168,1076.952733,1058.616792,
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,266.0732457,237.8521912,227.719379,201.1769601,177.9155235,184.7463926,235.3023525,265.2009687,284.5356514,276.3325771,318.0216963,312.7833254,214.6480785,217.9563993,167.2512195,203.6301663,217.7518729,198.7392418,220.9086847,270.6169164,235.4969162,246.4332278,270.2252926,342.3563004,377.5173075,406.1327419,419.2716409,468.7420185,556.2759294,527.277012,529.4654633,592.3920634,617.6905521,645.7563259,639.8324213,524.2129408,555.1972849,595.4003266,672.842517,672.7306602,
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,110.1396809,168.3200901,254.4867417,128.8698742,117.6116407,158.8787814,183.2681086,208.6664296,231.3087511,205.9595006,193.4999462,202.657751,230.2201749,219.5121528,239.596993,254.8123549,269.0403599,287.3966705,275.5823708,276.5342041,284.3553581,284.5869649,312.6340216,372.9626674,380.7975683,386.4671495,389.2317577,398.026054,393.6922591,395.9844385,428.2594322,457.9049777,481.2643933,491.7340491,543.310657,627.3688771,695.0669424,774.8919807,850.6138121,876.3789377,972.9425027,1091.500856,1217.843462,1360.152445,1493.416108,1626.320285,1777.276295,
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1888.530429,1896.813681,1843.563852,1582.6806,1681.718359,1634.38094,1930.773018,2664.269558,2090.674583,2030.278242,1831.624032,956.2566809,1028.77177,1080.35161,1001.313334,2062.356134,1321.469449,1231.210217,1601.110331,1440.235516,1374.197519,1546.081789,1857.598267,2372.055581,2944.163989,3337.418107,3733.51101,4613.115304,5974.221443,5760.178457,5585.116465,6372.799244,6211.65789,6398.938862,6621.88362,5804.813089,6220.405744,6927.827149,7747.240112,8260.45734,
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,6243.629215,7563.737257,7848.100057,7850.684045,7701.986045,5450.362246,4691.314196,5152.626109,5758.356719,5869.742731,7449.009585,8115.300225,7818.072339,7939.713723,8279.159343,8870.701327,9097.571092,8864.625286,8529.149205,8566.367956,11423.27946,10618.6447,10665.74287,11826.72276,13311.18052,15446.00015,16671.40914,18365.07363,19744.94927,15310.21591,16652.60821,16804.14397,19942.52541,20631.12382,20622.14797,18914.99813,19277.46364,20137.77731,20217.33548,19490.59179,
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,5417.588289,5541.674693,6151.865482,6636.066117,7689.938229,8618.76411,8983.221018,9802.413905,10082.46143,10997.18268,10973.56703,10609.17117,10747.68754,10278.63838,10555.83383,13109.93271,14916.49528,20285.39914,21538.95532,24099.73331,24840.04285,25046.7988,26397.64651,25952.41632,25979.95557,27718.52984,27903.48008,28657.513,28278.48687,26081.66983,25770.0046,25452.39324,27202.28064,26641.05705,26501.01168,27332.32969,27696.17474,29372.05085,29629.28518,31439.33611,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0946377,377.9668971,644.4923903,870.9587094,1249.16575,1359.73961,1504.429434,1538.160432,1741.391383,2140.653663,2640.90664,2792.03189,3162.286639,3777.165579,4655.588379,4274.485452,4051.152026,4338.66764,3991.296849,4323.692679,4414.405422,3925.677262,4156.482694,4513.786801,5071.974326,5113.447455,
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.496893,1332.740848,1216.906953,1131.971475,1198.740914,1141.695526,1242.745167,990.0646661,1051.383567,1031.491344,1227.863884,1516.2599,1969.857777,2589.878602,3175.461794,3878.414206,5199.674689,4357.608925,4845.179604,5168.712953,5504.988605,6232.92989,6571.783965,4641.475024,3922.622607,4527.901112,4975.785814,5283.944482,
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1283.274325,1234.299524,1083.278715,1106.640579,1192.349587,1135.058997,1236.575329,1467.538342,1633.292339,1832.64282,2016.112912,2126.029215,2427.568443,2568.177477,2612.831935,2733.835679,2739.047236,2712.027806,2723.282723,2728.042476,2660.95669,2642.476017,2750.502337,2782.646705,2821.470875,2901.320632,2998.825822,2926.965382,2926.277393,3100.618794,2962.248258,3132.513645,3242.914999,3371.682194,3495.174518,3767.120163,3761.922978,3757.811863,3572.21158,3549.716206,
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,480.6970662,543.1672834,605.3118674,665.7601172,634.6265349,847.4479704,784.9072736,751.9885667,853.6262898,736.2321578,530.8656842,575.4304468,590.0889678,588.9539126,601.0660602,664.1171442,696.3273348,695.1094053,708.2734293,780.2136244,848.0784095,893.8413876,951.5481196,888.8584734,862.2880613,826.1121824,785.3167801,772.6568382,787.5374947,818.067152,944.9233437,1061.116974,1388.309847,1462.520347,1593.021879,1865.17234,2025.871122,2265.980594,2466.262193,2578.920788,2650.685075,2788.369329,2936.954498,2986.569811,
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,407.9288078,464.1254052,538.8915909,705.838395,912.0408786,1038.962979,1248.749605,1411.125152,1556.705468,1689.364161,1691.960666,1841.381286,1899.046407,1325.670251,1330.094044,1378.710287,1651.749172,1798.418148,1982.323343,2791.691416,2727.706926,3547.205703,2336.768697,2495.847411,3066.896449,4304.627409,4632.163426,4706.405906,4477.421459,3020.605634,3305.514725,2775.614542,2477.707494,2691.499171,3164.054686,4165.015354,5140.645876,6428.444161,7651.161384,7607.405429,9774.813616,11492.06823,10786.69029,10878.54601,10674.81531,7831.53981,7743.61781,8818.872255,7850.803551,7628.82845,
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5303.417118,5803.462673,6163.329526,6863.06241,6787.174506,6836.939042,6664.384221,6965.18263,7218.982684,7283.85002,7707.943567,8145.043909,9173.235746,9501.630652,9799.334471,9719.366743,9825.274274,10052.15998,10766.30061,11805.04921,12696.27936,14300.62249,14379.84056,13606.79524,13981.61265,13623.59538,13898.56005,14052.38091,14083.91184,14086.70729,14368.71974,14808.94118,15113.48412,15641.52675,
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8988.33548,9539.511441,10913.1814,12009.67251,11406.09542,11097.92936,12407.47792,12899.4949,12911.63573,10400.89169,10925.14624,12544.51597,12143.1823,12980.31985,13967.02914,15848.97024,17936.63476,20943.46709,24267.63026,27769.15309,21577.30482,26584.39035,31964.25586,33667.07451,33749.85394,32109.58738,25938.77698,24196.61691,24609.85209,23891.50254,24693.87532,
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,232.592559,238.6016306,221.5895786,233.8138834,266.211842,268.1450695,303.7802003,393.4839966,446.8653204,451.0201825,481.0995161,382.0491711,367.9574219,353.9560448,427.0931368,442.3702176,463.9744425,550.4198318,512.7159468,531.9735472,649.990451,696.4568479,761.9933093,853.9178207,949.9089793,1100.331755,1198.551464,1547.509038,1582.102235,1555.966759,1882.626514,2124.430596,2083.872635,2055.732418,2203.364683,2267.220207,2366.80928,2679.376347,2661.521424,2719.831694,
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,969.6527869,1045.840951,944.6164959,989.9765699,956.7294524,837.40084,1012.697121,1307.351715,1721.304502,1929.157465,2494.305599,2602.754912,2691.25407,2759.865119,2388.448085,2710.788289,2597.866178,2743.913339,2742.949321,2839.076499,2879.5174,2842.908396,2405.698188,3008.828932,3422.544366,3969.650213,3846.853956,4062.233041,4008.25202,3874.637255,4628.933742,5904.244235,5408.419654,5342.942648,5897.807015,5149.705535,5070.479422,5545.618121,5799.849919,5617.684648,
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,301.8865622,265.5447417,274.3020693,231.5733182,220.9428277,298.9381235,376.1181698,385.6916193,401.4099563,388.761842,446.7062989,417.3944319,415.6801894,363.7112785,238.9245265,307.256904,264.5288739,244.1632326,247.4610182,253.2195087,225.7065991,227.1830282,236.8039739,268.1359974,291.9233652,303.7876131,326.4985751,373.1358514,423.8206274,434.520587,444.2124271,490.418208,500.9984049,315.5107028,345.0763476,310.1282049,331.7056441,387.5373132,411.4279236,404.4803172,
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,3442.455489,3789.007853,4292.237823,4877.41212,5767.535881,6215.921399,7300.170569,7350.309905,7498.928279,8004.236059,8842.457115,9916.571198,10018.82009,10835.21681,11205.01496,11442.65218,11816.08594,13161.24673,15227.41602,16653.16249,17217.1914,17675.87098,16782.11953,16228.00653,16059.64157,16626.96693,17026.14156,17608.7235,16843.16009,17922.20103,19538.26541,19043.5962,19643.24146,22964.1503,26105.6419,29581.92812,33140.42539,36608.77133,37863.16074,33001.14175,38702.43447,42587.82827,42991.13599,43034.90412,41604.74549,35337.87785,34316.45145,36962.09055,37739.01968,37829.48274,
Central Europe and the Baltics,CEB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.513736,2206.554176,2867.523639,3045.597697,3007.494109,3315.933991,3198.905961,3174.634389,3506.879837,3972.728016,4734.723867,5675.119426,6728.115018,7587.500376,9566.359973,11834.95507,9927.094348,10100.80911,11096.03726,10431.61763,11065.4465,11434.84538,10099.47178,10336.72101,11548.96693,13018.73579,13350.16455,
Switzerland,CHE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,3262.271229,3887.701822,4704.531422,6340.832087,7334.637664,8434.322871,8995.262102,9623.586622,13422.36577,15217.98859,16132.00543,14861.91522,14921.90592,14820.63905,14272.41675,14284.50245,20066.14196,24665.32889,26575.59225,24982.10761,31124.04771,31031.64318,31737.04763,30941.6907,33754.87521,39943.32445,38626.01801,34277.63552,35381.12318,34696.46279,32389.25712,31658.0617,33177.79177,40293.69134,44648.03734,47354.48106,49424.105,50371.46299,51919.97596,54939.52062,62059.65423,69425.71934,67027.07335,67984.74236,67664.20129,65821.92919,62739.08731,61418.25351,64906.68897,65600.05547,
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,792.8229252,959.3752547,1041.316904,1404.308825,1279.654615,547.4956892,748.6515984,1049.11926,1191.00772,1605.993231,2125.668942,2514.515795,1711.241928,1298.449833,1213.988008,972.7232773,1069.128271,1281.527701,1457.569058,1644.054765,1860.317375,2189.228421,2690.697987,2895.67483,3228.889555,4106.970268,4333.889189,4690.114734,4564.421886,4047.067439,4085.17452,3740.222266,3623.346374,3735.039509,4527.84969,5526.560881,6114.329009,6918.340248,7697.348845,7686.671622,9472.915824,10987.73298,11951.2497,12412.35093,11781.37483,11210.31336,11041.63168,11723.211,12221.56912,11718.54853,
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,103.4679897,109.2424874,119.5910231,142.8737335,141.5333675,154.3975219,138.9316039,155.9844218,131.9675297,148.1431334,151.5257342,153.5006607,162.7373257,185.9819726,211.1856359,251.142026,245.3368094,217.4843082,248.1902753,269.0815673,271.2690255,289.8083188,321.6788134,328.1359402,412.0442615,523.653881,608.7659207,671.4375801,707.2649784,748.0397922,817.9363953,901.6741683,994.1798805,1117.386868,1291.52559,1484.277326,1768.806273,2259.037411,2837.619646,3206.480042,3693.336062,4373.43064,5070.900825,5625.024374,6204.669435,6525.796604,6662.556048,7356.450662,8177.556975,8393.680725,
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,960.5089188,1034.865596,1096.414225,847.632395,728.8374187,604.0947318,595.4084302,568.9243746,751.2694682,783.028082,769.0982441,673.1246323,709.0793021,680.8114768,710.9699264,676.3130582,508.0973894,661.3136716,721.2605574,687.686946,734.2931657,695.3909006,553.8909115,556.8626238,598.0338766,706.0838119,776.7018285,830.7691611,827.2614098,937.9832907,1078.425818,1092.773958,1092.401528,1060.918236,1110.425076,1263.230183,1441.35129,1858.688434,1871.266198,1942.955924,2121.088478,2115.36891,
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,159.3134769,179.8801377,196.818649,243.7938235,295.7353386,321.9125224,294.8855902,455.1560978,577.5687169,550.2358517,682.8732323,685.7207156,663.0245253,674.8460947,673.002157,935.5687192,999.6890077,1006.325214,814.6010213,750.5260492,832.1210593,741.1896904,1010.106993,663.8169603,579.4214186,608.287786,608.907294,604.782811,617.5224031,518.5918259,524.6230035,576.7105133,727.2555183,851.7602973,828.2719051,869.3948568,971.8295202,1091.523541,1094.574581,1043.808274,1124.781281,1078.82489,1183.512641,1273.471867,1115.866268,1155.386727,1194.96989,1278.042799,1262.06196,
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5340336,99.7208701,106.5011264,111.3307144,110.8924852,79.6706918,339.8203034,124.2549042,146.4206809,148.9532472,167.3258514,187.1537155,220.5657059,246.9612765,266.6235942,250.2563584,277.6234126,310.348409,340.9658911,366.1323341,373.1671133,395.9915981,402.7506644,393.6912327,461.5363566,506.9559797,
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,180.7188544,204.4190924,246.3712433,297.5519394,261.8625422,360.1645128,331.995961,335.6803515,345.9306794,404.0219781,601.1462627,804.5357666,877.7526763,705.2286714,621.8464267,602.9809843,611.794163,664.6574362,496.4171792,403.8040385,395.0175413,522.7492223,560.4971836,230.8652293,268.7817192,131.093505,97.60275333,193.633447,264.8463972,177.6750628,105.7666592,181.4776198,233.7851251,343.9340576,264.9933043,424.0018632,420.7955107,777.6605294,942.4602025,1107.390435,1251.572463,1138.426189,1756.443707,2237.782986,2397.700493,1719.318156,1392.996339,1298.051517,984.4672912,658.0384877,
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,276.5129493,294.7528427,321.0252135,377.9179709,436.1646376,451.8689487,524.1711733,666.9585546,789.4520057,919.4171027,1078.325464,1143.853214,1189.838603,1131.642234,1080.239342,950.8545951,941.9957474,932.368534,1010.228117,961.3426045,1142.974397,1189.781924,1409.6232,1600.025418,1958.631034,2158.258623,2181.434504,2355.494263,2150.638828,1788.239471,2008.139401,1983.743973,1942.027326,1819.338753,2203.831482,2729.364334,2974.870505,3784.968133,4306.188931,4209.64158,5034.04873,5644.120518,6272.776682,6468.771521,6508.656398,5177.347028,4967.750722,5308.529444,5501.390053,5246.157424,
Comoros,COM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,624.005596,558.7430107,506.8930742,512.386569,482.2924075,493.8304947,681.3525143,805.1537137,823.0826114,775.3239673,940.839181,904.1169411,953.0954031,911.9692469,621.6705729,744.2260203,718.5636239,643.0243915,634.4843741,643.695406,580.0073472,613.0017491,670.4303951,837.559024,951.0110584,962.349526,1004.451413,1108.007349,1239.554972,1200.235497,1170.848082,1283.362778,1235.919259,1327.362051,1333.634545,1093.648022,1124.053727,1172.306366,1268.409848,1228.465208,
